ZONE_NO,ZONE_NAME,WARD_NO
1,THIRUVOTTIYUR,1
1,THIRUVOTTIYUR,2
1,THIRUVOTTIYUR,3
1,THIRUVOTTIYUR,4
1,THIRUVOTTIYUR,5
1,THIRUVOTTIYUR,6
1,THIRUVOTTIYUR,7
1,THIRUVOTTIYUR,8
1,THIRUVOTTIYUR,9
1,THIRUVOTTIYUR,10
1,THIRUVOTTIYUR,11
1,THIRUVOTTIYUR,12
1,THIRUVOTTIYUR,13
1,THIRUVOTTIYUR,14
2,MANALI,15
2,MANALI,16
2,MANALI,17
2,MANALI,18
2,MANALI,19
2,MANALI,20
2,MANALI,21
3,MADHAVARAM,22
3,MADHAVARAM,23
3,MADHAVARAM,24
3,MADHAVARAM,25
3,MADHAVARAM,26
3,MADHAVARAM,27
3,MADHAVARAM,28
3,MADHAVARAM,29
3,MADHAVARAM,30
3,MADHAVARAM,31
3,MADHAVARAM,32
3,MADHAVARAM,33
4,TONDIARPET,34
4,TONDIARPET,35
4,TONDIARPET,36
4,TONDIARPET,37
4,TONDIARPET,38
4,TONDIARPET,39
4,TONDIARPET,40
4,TONDIARPET,41
4,TONDIARPET,42
4,TONDIARPET,43
4,TONDIARPET,44
4,TONDIARPET,45
4,TONDIARPET,46
4,TONDIARPET,47
4,TONDIARPET,48
5,ROYAPURAM,49
5,ROYAPURAM,50
5,ROYAPURAM,51
5,ROYAPURAM,52
5,ROYAPURAM,53
5,ROYAPURAM,54
5,ROYAPURAM,55
5,ROYAPURAM,56
5,ROYAPURAM,57
5,ROYAPURAM,58
5,ROYAPURAM,59
5,ROYAPURAM,60
5,ROYAPURAM,61
5,ROYAPURAM,62
5,ROYAPURAM,63
6,THIRU-VI-KA-NAGAR,64
6,THIRU-VI-KA-NAGAR,65
6,THIRU-VI-KA-NAGAR,66
6,THIRU-VI-KA-NAGAR,67
6,THIRU-VI-KA-NAGAR,68
6,THIRU-VI-KA-NAGAR,69
6,THIRU-VI-KA-NAGAR,70
6,THIRU-VI-KA-NAGAR,71
6,THIRU-VI-KA-NAGAR,72
6,THIRU-VI-KA-NAGAR,73
6,THIRU-VI-KA-NAGAR,74
6,THIRU-VI-KA-NAGAR,75
6,THIRU-VI-KA-NAGAR,76
6,THIRU-VI-KA-NAGAR,77
6,THIRU-VI-KA-NAGAR,78
7,AMBATTUR,79
7,AMBATTUR,80
7,AMBATTUR,81
7,AMBATTUR,82
7,AMBATTUR,83
7,AMBATTUR,84
7,AMBATTUR,85
7,AMBATTUR,86
7,AMBATTUR,87
7,AMBATTUR,88
7,AMBATTUR,89
7,AMBATTUR,90
7,AMBATTUR,91
7,AMBATTUR,92
7,AMBATTUR,93
8,ANNANAGAR,94
8,ANNANAGAR,95
8,ANNANAGAR,96
8,ANNANAGAR,97
8,ANNANAGAR,98
8,ANNANAGAR,99
8,ANNANAGAR,100
8,ANNANAGAR,101
8,ANNANAGAR,102
8,ANNANAGAR,103
8,ANNANAGAR,104
8,ANNANAGAR,105
8,ANNANAGAR,106
8,ANNANAGAR,107
8,ANNANAGAR,108
9,TEYNAMPET,109
9,TEYNAMPET,110
9,TEYNAMPET,111
9,TEYNAMPET,112
9,TEYNAMPET,113
9,TEYNAMPET,114
9,TEYNAMPET,115
9,TEYNAMPET,116
9,TEYNAMPET,117
9,TEYNAMPET,118
9,TEYNAMPET,119
9,TEYNAMPET,120
9,TEYNAMPET,121
9,TEYNAMPET,122
9,TEYNAMPET,123
9,TEYNAMPET,124
9,TEYNAMPET,125
9,TEYNAMPET,126
10,KODAMBAKKAM,127
10,KODAMBAKKAM,128
10,KODAMBAKKAM,129
10,KODAMBAKKAM,130
10,KODAMBAKKAM,131
10,KODAMBAKKAM,132
10,KODAMBAKKAM,133
10,KODAMBAKKAM,134
10,KODAMBAKKAM,135
10,KODAMBAKKAM,136
10,KODAMBAKKAM,137
10,KODAMBAKKAM,138
10,KODAMBAKKAM,139
10,KODAMBAKKAM,140
10,KODAMBAKKAM,141
10,KODAMBAKKAM,142
11,VALASARAVAKKAM,143
11,VALASARAVAKKAM,144
11,VALASARAVAKKAM,145
11,VALASARAVAKKAM,146
11,VALASARAVAKKAM,147
11,VALASARAVAKKAM,148
11,VALASARAVAKKAM,149
11,VALASARAVAKKAM,150
11,VALASARAVAKKAM,151
11,VALASARAVAKKAM,152
11,VALASARAVAKKAM,153
11,VALASARAVAKKAM,154
11,VALASARAVAKKAM,155
12,ALANDUR,156
12,ALANDUR,157
12,ALANDUR,158
12,ALANDUR,159
12,ALANDUR,160
12,ALANDUR,161
12,ALANDUR,162
12,ALANDUR,163
12,ALANDUR,164
12,ALANDUR,165
12,ALANDUR,166
12,ALANDUR,167
13,ADYAR,170
13,ADYAR,171
13,ADYAR,172
13,ADYAR,173
13,ADYAR,174
13,ADYAR,175
13,ADYAR,176
13,ADYAR,177
13,ADYAR,178
13,ADYAR,179
13,ADYAR,180
13,ADYAR,181
13,ADYAR,182
14,PERUNGUDI,168
14,PERUNGUDI,169
14,PERUNGUDI,183
14,PERUNGUDI,184
14,PERUNGUDI,185
14,PERUNGUDI,186
14,PERUNGUDI,187
14,PERUNGUDI,188
14,PERUNGUDI,189
14,PERUNGUDI,190
14,PERUNGUDI,191
15,SOZHINGANALLUR,192
15,SOZHINGANALLUR,193
15,SOZHINGANALLUR,194
15,SOZHINGANALLUR,195
15,SOZHINGANALLUR,196
15,SOZHINGANALLUR,197
15,SOZHINGANALLUR,198
15,SOZHINGANALLUR,199
15,SOZHINGANALLUR,200
